,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
108,Heaven's Day,spotify:track:3HASX3ZXpkpfMSb1zi3hv9,수리수리 Spellbound - The 7th Album Repackage,spotify:album:2vYBL8e2ils5F0pTLumTjV,TVXQ!,spotify:artist:6nVMMEywS5Y4tsHPKx1nIo,2014-02-27,31,223074
110,21st Century Girl,spotify:track:27ZWceiCHYP1SVPDn05OO9,WINGS,spotify:album:1EnFJjX81khStbM3BhTDle,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2016-10-10,51,192600
112,TRANSFORMER,spotify:track:2N5gzUfMPxxwrzohVeDCJq,LOVE ME RIGHT - The 2nd Album Repackage,spotify:album:2tSO8aEYf5YvpwmvvrOWH7,EXO,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,2015-06-03,37,227519
116,Give It to Me,spotify:track:6tSrsRYCUs1U22O2v7DyzI,Member's Selection,spotify:album:35kiTn8cftYoOlZgNJUx82,2PM,spotify:artist:5iRPbkcPmqAFFwDUj6ywVS,2012-05-22,7,220346
120,DRINKING PROBLEM,spotify:track:09JKNg82qt91x2uyTdEJJN,ANOTHER LIGHT,spotify:album:5Sai2DH0NtmkS4rO2f600H,SECHSKIES,spotify:artist:6uRyNreOHUvWPNGnKfIo27,2017-09-26,5,199110
123,달려! Relay,spotify:track:310Qb2mSocNLguFicxzRnD,달려! Relay,spotify:album:0k31vrIZQgqit8TjlQePM9,(G)I-DLE,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx,2018-11-19,17,223346
125,YeY,spotify:track:54i1eHwRWpgXIif12mFLSb,Ordinary,spotify:album:5H4SU8k7yKRAMMx0qk3ZG3,Beast,spotify:artist:1Pr9gT0veB2tgcisQeIGoC,2015-07-27,37,215866
126,Cowboy,spotify:track:0Zh59wTxSwMHwhs9JLMKhg,Click-B 04,spotify:album:5kIYx7enokxP9XQuB8PvXK,Click-B,spotify:artist:2kOGSFThgEzPEjL4fFB25w,2003-02-06,8,210444
127,PARADISE,spotify:track:5oatmxCOgjKocmrUd5gM46,APRIL Summer Special Album ‘Hello Summer’,spotify:album:3LxHIjDaVAwzkagYX3dShh,APRIL,spotify:artist:4cJ99wTjC60pXcfyISL9fa,2020-07-29,37,213573
128,Talk 첫사랑,spotify:track:076LsPzUC6SCuSkSURDkqM,LOVE - The 3rd Album,spotify:album:0CCksGwhBwxJlwvpkjw7VR,S.E.S.,spotify:artist:61HUG80Xma4rnXsqfZkzeM,1999-10-29,3,89826
131,LOVE O'CLOCK,spotify:track:0oigQarHYrRMxSPmv7H35I,Dream your dream,spotify:album:6PfJc6U6hFSmFs0AxaTEeY,WJSN,spotify:artist:6hhqsQZhtp9hfaZhSd0VSD,2018-02-27,25,193044
132,Interlude,spotify:track:6tPRrn8CPhzF4ouRoQ5yr6,PLANET BONDS,spotify:album:0KfU7DExQm69H2UiaZpqig,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2018-04-11,10,61799
133,Hold On,spotify:track:6pNnFX9cQquyugyvTgbSLc,miss me?,spotify:album:6GG4sDDLIzcBDXHXREuEMZ,I.O.I,spotify:artist:6RKnXXyprPjhBdCvL802Ku,2016-10-17,39,184934
134,Rain,spotify:track:3l6y14Inx2u0HMj0uc3j5h,Lovelyz 5th Mini Album [SANCTUARY],spotify:album:14RDHnWprxc97Yuzxtm60I,Lovelyz,spotify:artist:3g34PW5oNmDBxMVUTzx2XK,2018-11-26,22,286670
135,5TAR (Incompletion),spotify:track:3d5TL8jQ6BRlTFNNSOowKk,A.C.E Adventures in Wonderland,spotify:album:1kDT9CGXOToojhJRIHLfQu,A.C.E,spotify:artist:25KT93FeotUTHC1dbLasxi,2018-06-08,37,255321
136,4 Ya` Stereo - Intro,spotify:track:4fJ2JzMmOLy38eeCB6WQFw,Y,spotify:album:4fajjTR9Fr9mLYV54l6Wh5,MBLAQ,spotify:artist:14f1WN9TUDVBK4sHUStmLG,2010-05-17,6,77258
137,Shining Diamond - Performance Team Ver.,spotify:track:3ygoTUnTWMCOPqcWoz9cQ5,FIRST 'LOVE&LETTER',spotify:album:50BrkBakrLWufmTLjCVBwn,SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,2016-04-25,36,150315
138,Money Can't Buy Me Love,spotify:track:59v0KwJn07jG4CSii2Qij7,Digital Bounce,spotify:album:3o9MuNv5noRVl9IJL01BK6,SE7EN,spotify:artist:14yLuCwlBqteUdBqx9soJV,2010-07-21,2,225720
139,IF I,spotify:track:0JPyJEA13qkSemzWS3tOs1,SEVENTEEN 4th Mini Album ‘Al1’,spotify:album:2BNimvLLlD89e4Sb7ZVX6I,SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,2017-05-22,51,189235
