,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
5873,Shadow,spotify:track:4gQoAKDYQbufqj2gygOeGK,WANT - The 2nd Mini Album,spotify:album:7E01VOJ7gyYPz9HXUVeQeq,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2019-02-11,48,189459
4278,+ONE AND ONLY180228+,spotify:track:1hpzWrPf5KNyjhfFJvSuuH,In The Name Of Love,spotify:album:6v5UJuH3796lmy8NPTbBFT,CL,spotify:artist:0tzSBCPJZmHTdOA3ZV2mN3,2019-12-17,48,202196
6279,BLACK,spotify:track:44f1TNdoQUgf3PUYraCTsH,COUP D'ETAT (Korean Version),spotify:album:6A5g9sz5nChdBMdcATcCjB,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,2013-09-05,48,203772
5211,Crayon,spotify:track:1HMbjnCFGOWd8Sqou4maxM,One of a Kind,spotify:album:4EitCfNTOlnqtRrmBBuwGQ,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,2012-09-15,48,196920
3876,Will Last Forever,spotify:track:5BLH0517T5RoEFs1Mljo4H,WINTER,spotify:album:0xrAlQfw3MZ5QGhw2NptQt,AKMU,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv,2017-01-03,48,264678
4865,Feel So Fine,spotify:track:5GOXozqZHMtpUXNciSOWS1,My Voice - The 1st Album (Deluxe Edition),spotify:album:7MG0bxf0ZFsAyej9W3XzTO,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2017-04-05,48,219015
4169,"Bravo, My Life!",spotify:track:5BBJVVFagaIaw6O6dnNfJx,"Prison Playbook (Original Television Soundtrack), Pt. 4",spotify:album:4rw0c3e2OrUbhcPmgRCilh,Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM,2017-12-06,48,245349
130,Flourishing,spotify:track:3ZBcChaDht7PCXsBzdVnBB,Flourishing,spotify:album:1lNM7RF1SVUs66OtLj4MQh,CHUNG HA,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,2019-06-24,48,195496
4196,좋아 She is,spotify:track:2Xc0PwLnJnJtOVXKWcWBXs,She is - The 1st Album,spotify:album:4Mqc9VJjX66n66tNzAhevq,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2016-05-24,48,191208
1148,One Of A Kind,spotify:track:6CtYW6EWGMbfe96eqwCThq,One of a Kind,spotify:album:4EitCfNTOlnqtRrmBBuwGQ,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,2012-09-15,48,205875
1348,Missing You (Feat. Kim Yuna),spotify:track:3BqfHyw9cLm6POreivziWN,One of a Kind,spotify:album:4EitCfNTOlnqtRrmBBuwGQ,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,2012-09-15,48,207089
954,Here I Am,spotify:track:3xeo2seNDIp712sUmZycAN,Purpose - The 2nd Album,spotify:album:0h6wCpdgpSOAbYDDYJVuwr,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2019-10-28,48,204264
5015,Elevator,spotify:track:5nW5qUV0cL00mxjHeTowif,"JONGHYUN The Collection ""Story Op.2""",spotify:album:3eHhVAhT8uCrEPlZywai3o,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2017-04-24,47,224024
490,Wonder,spotify:track:0fhr4yUpLhgleQDOyK0RbD,Before We Begin,spotify:album:6kBsIjltkSNIc0FO4uiKXW,Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM,2019-11-14,47,162466
5428,Cover Up,spotify:track:5nyObfVLX7N6foqBlx063l,My Voice - The 1st Album (Deluxe Edition),spotify:album:7MG0bxf0ZFsAyej9W3XzTO,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2017-04-05,47,205982
4227,Gemini,spotify:track:6O8qig8SBplGp0cky2f8Kd,I - The 1st Mini Album,spotify:album:4e7kLQu7SKBUiMtV5WH3A1,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2015-10-07,47,220751
166,Stress,spotify:track:0a0FISfY8ty1xC69xCWf2T,I - The 1st Mini Album,spotify:album:4e7kLQu7SKBUiMtV5WH3A1,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2015-10-07,47,200994
4892,Only one,spotify:track:0V7f8xzZdIrtlNnhEOMAYH,Baramibunda OST Part 5,spotify:album:6bp7CU0TgsOOhXIyAuejtG,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2013-03-13,47,255294
5251,Last Goodbye,spotify:track:0x50cQ1pZeV4xl737GhKBk,WINTER,spotify:album:0xrAlQfw3MZ5QGhw2NptQt,AKMU,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv,2017-01-03,47,283800
5646,I Got Love,spotify:track:3ym1uqIEdPorxt9jM7txYb,My Voice - The 1st Album (Deluxe Edition),spotify:album:7MG0bxf0ZFsAyej9W3XzTO,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2017-04-05,47,190007
5636,Sorrow,spotify:track:2s5x9vzV3cHfGUMTqZQ6Zz,#GirlsSpkOut,spotify:album:5KHfb1w9F79gdRGVhywTVY,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2020-10-30,47,205490
4489,The Magic of Christmas Time,spotify:track:35OjjtMHKnPdOAsEZ6M9OA,This Christmas – Winter is Coming,spotify:album:1U3KyC9Key12NSi9ETVExx,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2017-12-12,47,167456
2874,Love,spotify:track:45O3RsjfiCcEPJKyaRr8MP,MOVE - The 2nd Album,spotify:album:2Ka8QpE2XUUjL4vOQihkJH,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2017-10-16,47,229564
2861,Miss You,spotify:track:2Q6vn3Pz85m9ttt9mOm5qZ,Miss You,spotify:album:01Ko1HQowbmrPM3awKqZsP,Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM,2018-10-30,47,172634
6338,Fire,spotify:track:2KiIPv0kEZGdAsUoFuJ8GT,My Voice - The 1st Album (Deluxe Edition),spotify:album:7MG0bxf0ZFsAyej9W3XzTO,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2017-04-05,47,187326
