,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
31,Sad Freedom,spotify:track:0Y2L9r47P2ey4cCUOlqWor,Sad Freedom,spotify:album:2OCK4oigskg6ZQ9mBm9zii,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2009-12-01,5,94275
32,사실은,spotify:track:700G4cyYHIBZOu7GoDpqVP,Back To Stage,spotify:album:0R52ET7vG1Hy7eGouTxCve,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,6,210920
33,어머님이 누구니 (Who's your mama?) (Feat. Jessi),spotify:track:4cuVIOUaWMUMrhlX5UsHUi,24/34,spotify:album:1nu6x7zCj1VjrMVXLVBAwb,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-04-12,45,221122
34,I Am Going Back,spotify:track:660fvTjhqmIyOrDKdTUB88,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,13,257453
35,I'm going back,spotify:track:4TrU7Rvkd9z58WCdMYMNXk,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2020-10-07,15,259586
36,후회해 (Duet. 헤이즈) Regrets (Duet. Heize),spotify:track:3FuIbAOgfiQ2VIGN9i8eRI,BLUE & RED,spotify:album:0uRYjbm6DD7fSzak7MogRv,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2017-10-16,16,217196
37,어머님이 누구니 (Who's your mama?) (Feat. Jessi),spotify:track:7Hjmz2XTMCuFvKBSfvrtC5,24/34,spotify:album:7cPUxsJL1nMh87bld2LyTo,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-04-12,49,221122
38,Please,spotify:track:6mTaLNHvi6xIqTYDTym8Sr,Spring 새로운 사랑에게 보내는 다섯곡의 노래,spotify:album:3GgoKWOKym0Y4ZXWgGezGg,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-04-29,2,202199
39,방문을 닫으면,spotify:track:0JBFGTzdk9jskyBuXPEd4P,24/34,spotify:album:5b3oIpbWkgwJbMY6hDwJRd,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-04-12,1,215955
40,"FEVER (feat. 수퍼비, BIBI)",spotify:track:5wGa5Arp1jismTz4YJ2MNq,FEVER,spotify:album:21XIrrzz93SAunoy7pRPMW,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2019-12-23,13,173925
41,너뿐이야 (You're The One),spotify:track:2To4284ZgQ3LII5zZcMpZa,Spring 새로운 사랑에게 보내는 다섯곡의 노래,spotify:album:3GgoKWOKym0Y4ZXWgGezGg,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-04-29,3,202249
42,Come Over,spotify:track:72DTdwFXREBAGMWsWkHHJQ,Sad Freedom,spotify:album:2OCK4oigskg6ZQ9mBm9zii,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2009-12-01,6,298657
43,No Love No More,spotify:track:66UWohmkvEgmVlb12YfdPX,Sad Freedom,spotify:album:0SxD8XFgG98lTQ1axhrmvR,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2009-12-01,19,220029
44,어머님이 누구니 (Who's your mama?) (Inst.),spotify:track:0Di1spfOcDWuXCmlCF0hJJ,24/34,spotify:album:7cPUxsJL1nMh87bld2LyTo,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-04-12,12,221122
45,"사랑이 제일 낫더라 (With 남궁송옥, 개코 Of Dynamic Duo)",spotify:track:6C3Mtolwa8LEjW4LFGC2Rk,Halftime,spotify:album:5p7fn6NyIiI1fhkh9mQlT0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,1,190440
46,Your fingertips,spotify:track:3mVOHmbD8YrB0KGveLcooq,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2001-06-07,13,287088
47,"이런 여자가 좋아 (Feat. Dynamic Duo, 전제덕)",spotify:track:2JmuAHnqNQLghRjslt1m9a,Back To Stage,spotify:album:0R52ET7vG1Hy7eGouTxCve,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,6,277266
48,다른 사람 품에 안겨서 (Someone Else) (Duet With 가인),spotify:track:4Mu1gMPdNf1Om0GTPErTIG,Spring 새로운 사랑에게 보내는 다섯곡의 노래,spotify:album:3GgoKWOKym0Y4ZXWgGezGg,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-04-29,2,199096
49,FEVER - Short Ver. (Inst.),spotify:track:76EXbeYzIjmzOfsf6Eycrw,FEVER,spotify:album:53TALEgFIb2n7aVBIrfyf0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2019-12-23,8,133925
50,Eum Eum Eum,spotify:track:7cwqcec0GIocNaKXANZGG5,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2001-06-07,17,194119
51,"Fire (feat. Conan O'Brien, Steven Yeun, 박지민 Jimin Park)",spotify:track:5ZUDzqhgMfFgRUkAA7EDsa,Still Alive,spotify:album:5HiT4lbTgn7VKDAX5Lecql,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2016-04-10,21,185886
52,Halftime,spotify:track:59zfzmOYnRLA6BWsj4dgZn,Halftime,spotify:album:5p7fn6NyIiI1fhkh9mQlT0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,1,208008
53,놀만큼 놀아봤어 (Had Enough Parties),spotify:track:6rzfngLAJVsqOG7zhTXh1r,Halftime,spotify:album:5p7fn6NyIiI1fhkh9mQlT0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,1,212820
54,Halftime,spotify:track:5EX8d1g6MkK5xIYZr8NgAE,Halftime,spotify:album:6McpH5i1BG1DEcRxXDq432,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,5,208008
55,Delicious (니 입술이),spotify:track:4HuPMSjYdQ2Wfoso1Oh5ZK,Back To Stage,spotify:album:41h8n1l24t2dq0N2e5lsll,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,2,214786
56,꽉 잡은 이 손 This Small Hand,spotify:track:4EBV15AFhjeLxXfFoDZe3w,꽉 잡은 이 손,spotify:album:01A9PQedRCzjBnjH6QYGlV,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2019-02-09,24,263619
57,너만 있으면 돼 All I need (feat. P-TYPE),spotify:track:3Hs4tTed1bmlFgZrSdYOXR,너만 있으면 돼 All I need,spotify:album:65silw7pM6ttaTx9fTy0lo,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-09-24,4,207857
58,I Like a Woman Like This,spotify:track:1FwPUgYNEGhRn23XqLcfbU,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,12,277266
59,When We Disco (Duet with SUNMI),spotify:track:6t9nnPyEZfjcn1aLJ4l9AK,When We Disco,spotify:album:1PllJjUqafNlQ23eBqs511,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2020-08-12,62,224387
